1,0
2,freeGame
3,0
4,baseGame
5,0
6,0
7,freeGame
8,baseGame
9,baseGame
10,baseGame
11,0
12,baseGame
13,baseGame
14,0
15,baseGame
16,freeGame
17,0
18,baseGame
19,baseGame
20,baseGame
21,0
22,freeGame
23,0
24,freeGame
25,baseGame
26,0
27,0
28,0
29,baseGame
30,0
31,freeGame
32,baseGame
33,0
34,0
35,baseGame
36,0
37,0
38,baseGame
39,0
40,0
41,baseGame
42,baseGame
43,freeGame
44,0
45,0
46,0
47,0
48,baseGame
49,baseGame
50,baseGame
51,baseGame
52,0
53,baseGame
54,baseGame
55,0
56,baseGame
57,0
58,baseGame
59,winCap
60,baseGame
61,0
62,baseGame
63,baseGame
64,freeGame
65,baseGame
66,baseGame
67,baseGame
68,0
69,0
70,baseGame
71,baseGame
72,baseGame
73,baseGame
74,baseGame
75,0
76,freeGame
77,baseGame
78,0
79,0
80,baseGame
81,baseGame
82,0
83,baseGame
84,0
85,baseGame
86,0
87,0
88,baseGame
89,0
90,baseGame
91,0
92,baseGame
93,0
94,baseGame
95,baseGame
96,baseGame
97,0
98,freeGame
99,baseGame
100,baseGame
